P_cname,data_type,p_affliation,p_description,p_eduction,p_gender,p_id,p_image,p_interest,p_languages,p_location,p_name,p_profession,p_specialties,s_add_post,s_add_state,s_add_street,s_add_suburb,s_address,s_afterhours,s_bulkbilled,s_clinic_name,s_description,s_id,s_mobile,s_opening_hours,s_phone,s_specialties,s_website
,Practitioner,Australian Traditional-Medicine Society,"<div class=""description-content practitioner-description"">
    				<h2>Overview</h2>
					<div class=""description-content"">
											<p>Robert holds a PhD degree from the Shanghai University of Traditional Chinese Medicine and has over 10 years clinical experience as a hospital physician in China. Robert is a caring and compassionate practitioner who is experienced with acute or chronic pain, migraines, stress, anxiety or depression, male and female infertility, sleeping problems, gastrointestinal conditions such as bloating, diarrhoea, constipation, gas or reflux. He is also experienced in immune system disorders, such as chronic cough, asthma, hay fever and skin problems. Robert is a member of the Australian Traditional-Medicine Society (ATMS).</p>										</div>
					<a href=""javascript:;"" class=""more-area-btn"">Read more</a>
													<p> Robert Zhao is a male Acupuncturist and Chinese Medicine Practitioner in Stirling, WA.</p>
								</div>",,Male,40814,https://healthengine.imgix.net/photos/doctors/doc40814.png?auto=compress&ixlib=php-2.1.0&or=0,"Acute Pain Management, Anxiety, Asthma, Chinese Herbal Medicine, Chinese Medicine, Chronic Cough, Chronic Disorders, Constipation, Depression, Diarrhea, Hay Fever, Infertility, Infertility Issues, Migraine, Skin Treatment, Sleeping Disorders, Stress Management",English,"Unit 1 / 45 Cedric Street, Stirling, WA 6021", Robert Zhao,Male Practitioner,"Acupuncture, Chinese Medicine",6021,WA,Unit 1 / 45 Cedric Street,Stirling,Unit 1 / 45 Cedric Street,,,Long Health Care,,62590,,"<dl>
                        <dt>Monday:</dt>
                <dd>09:00am - 05:00pm</dd>
                                <dt>Tuesday:</dt>
                <dd>09:00am - 05:00pm</dd>
                                <dt>Wednesday:</dt>
                <dd>09:00am - 05:00pm</dd>
                                <dt>Thursday:</dt>
                <dd>09:00am - 05:00pm</dd>
                                <dt>Friday:</dt>
                <dd>09:00am - 05:00pm</dd>
                                <dt><strong style=""font-weight:bold;"">Saturday</strong>:</dt>
                <dd><strong style=""font-weight:bold;"">09:00am - 05:00pm</strong></dd>
                                <dt>Sunday:</dt>
                <dd>Closed</dd>
                                <dt>Public Holidays:</dt>
                <dd>Closed</dd>
                                <div></div>
        </dl>",(08)61530318,,www.longhealthcare.com.au
,Practice,,,,,,,,,,,,,3205,VIC,,South Melbourne,"129 Eastern Road, South Melbourne, VIC, 3205",false,false,Wind Water Health,,41591,,,+61396903013,Chinese Medicine,
,Practice,,,,,,,,,,,,,3070,VIC,,Northcote,"61 Simpson Street, Northcote, VIC, 3070",false,false,Westgarth Chinese Medicine Centre,,42706,,,+61394866266,"Acupuncture, Chinese Medicine",
,Practitioner,,"<div class=""description-content practitioner-description"">
    				<h2>Overview</h2>
					<div class=""description-content"">
											<p>Yolanda gained her bachelor and master degree in Traditional Chinese Medicine from Chengdu University of RCM in China after 8 years of study. She acquired a rich fund of professional knowledge and practical exepriences from her postgraduate graining program which was focused on Fertility, IVF Support and Women's Health. Yolanda utilizes a combination of modalities which include Acuptuncture, Chinese Herbal Medicine, Cupping, Moxibustion along with dietary and lifestyle advice to provide clients with holistic treatment and healthcare.</p>
<p>Yolanda is a member of ANTA and a registered member of the Chinese Medicine Board of Australia. She is also teaching in Endeavor College of Natural Health.</p>										</div>
					<a href=""javascript:;"" class=""more-area-btn"">Read more</a>
												</div>",,,42269,https://healthengine.imgix.net/photos/doctors/doc42269-20150924053508.jpg?auto=compress&ixlib=php-2.1.0&or=0,"Acupuncture, Acute Pain Management, Chinese Herbal Medicine, Chronic Pain, Digestive Conditions, Infertility, Menopause, Menstrual Disorders, Mental Health, Remedial Massage, Women's Health",English,"2 / 434 Cambridge Street, Floreat, WA 6014", Yolanda Shi,,Chinese Medicine,6014,WA,2 / 434 Cambridge Street,Floreat,2 / 434 Cambridge Street,,,acu8 Health Fertility and Healing Centre,,60505,,"<dl>
                        <dt>Monday:</dt>
                <dd>09:00am - 06:00pm</dd>
                                <dt>Tuesday:</dt>
                <dd>09:00am - 06:00pm</dd>
                                <dt>Wednesday:</dt>
                <dd>09:00am - 06:00pm</dd>
                                <dt>Thursday:</dt>
                <dd>09:00am - 06:00pm</dd>
                                <dt>Friday:</dt>
                <dd>09:00am - 06:00pm</dd>
                                <dt><strong style=""font-weight:bold;"">Saturday</strong>:</dt>
                <dd><strong style=""font-weight:bold;"">09:00am - 06:00pm</strong></dd>
                                <dt>Sunday:</dt>
                <dd>Closed</dd>
                                <dt>Public Holidays:</dt>
                <dd>Closed</dd>
                                <div></div>
        </dl>",(08) 9387 3389,,www.acu8.com.au
,Practice,,,,,,,,,,,,,6000,WA,,Perth,"258  Stirling Street, Perth, WA, 6000",false,false,Wantai Acupuncture & Herbal Clinic,,45449,,,+61893287630,Chinese Medicine,
,Practice,,,,,,,,,,,,,3130,VIC,,Blackburn,"6 Main Street, Blackburn, VIC, 3130",false,false,Vital Chi Wellness,,66351,,,+61398940014,"Naturopathy, Acupuncture, Myotherapy, Counselling, Kinesiology, Osteopathy, Chinese Medicine, Chirop",
,Practitioner,,"<div class=""description-content practitioner-description"">
    				<h2>Overview</h2>
					<div class=""description-content"">
											<p>Mr Xia is from main land of China with the background of Traditional Chinese Medicine. He graduated from the university of Traditional Chinese Medicine of Shandong Province. He is one of the disciples of Zinong Cheng. He published a series of external therapy of Traditional Chinese Medicine. He has more than twenty years clinical experience. He is a member of Chinese Acupuncture Association, Shandong Tuina Association, Chinese Pain society, Chinese Medicinal diet Association. He is registered Australian acupuncturist, member of FCMA. He has comprehensive Chinese medicine skills, especially with acupuncture, Tuina and Chinese medicinal diet.</p>										</div>
					<a href=""javascript:;"" class=""more-area-btn"">Read more</a>
												</div>",,Male,62753,https://healthengine.imgix.net/photos/doctors/doc62753-20170217021255.jpg?auto=compress&ixlib=php-2.1.0&or=0,"Acupuncture, Chinese Herbal Medicine, Chinese Medicine",English,"630 Cranbourne-Frankston Road, Cranbourne South, VIC 3977",Mr Jianguo Xia,Male Practitioner,"Acupuncture, Chinese Medicine",3977,VIC,630 Cranbourne-Frankston Road,Cranbourne South,630 Cranbourne-Frankston Road,,,Cend Oriental Clinic,,64039,,,(03) 8790 8770,,www.cendorientalclinic.com.au 
,Practitioner,Australian Acupuncture and Chinese Medicine Association,"<div class=""description-content practitioner-description"">
    				<h2>Overview</h2>
					<div class=""description-content"">
											<p>Dr Charis Su is a friendly and caring practitioner who has great passion for health. She holds a Bachelor’s degree in Traditional Chinese Medicine from the University of Technology, Sydney and has over 10 years of clinical experience from Australia and the prestigious China Medical University Hospital in Taiwan.</p>
<p>Charis is very experienced and successful with women’s health, fertility and pregnancy issues at Ping Ming Health. She also has a special interest in metabolic, skin, immunity and stress-related health problems as well as being experienced in treating all types of pain conditions including headaches, musculoskeletal and neurological problems. Charis enjoys helping her patients not only to solve their immediate concerns but also providing them with practical knowledge about their health to maintain wellbeing. She is a member of AACMA.</p>										</div>
					<a href=""javascript:;"" class=""more-area-btn"">Read more</a>
													<p>Dr Charis Su is a female Chinese Medicine Practitioner in Melbourne, VIC.</p>
								</div>",,Female,40823,https://healthengine.imgix.net/photos/doctors/doc40823-20170627035541.jpg?auto=compress&ixlib=php-2.1.0&or=0,"Chinese Herbal Medicine, Chinese Medicine, Chinese Traditional Medicine, Digestive Conditions, General Health & Wellbeing, Headaches, Musculoskeletal Pain, Pain, Skin Treatment, Stress Management",English,"Level 7 / 1 Elizabeth Street, Melbourne, VIC 3000",Dr Charis Su,Female Practitioner,Chinese Medicine,3000,VIC,Level 7 / 1 Elizabeth Street,Melbourne,Level 7 / 1 Elizabeth Street,,,QV Medical - Elizabeth St,,64765,,"<dl>
                        <dt>Monday:</dt>
                <dd>09:30am - 04:30pm</dd>
                                <dt>Tuesday:</dt>
                <dd>Closed</dd>
                                <dt>Wednesday:</dt>
                <dd>Closed</dd>
                                <dt>Thursday:</dt>
                <dd>09:00am - 05:00pm</dd>
                                <dt>Friday:</dt>
                <dd>09:00am - 05:00pm</dd>
                                <dt><strong style=""font-weight:bold;"">Saturday</strong>:</dt>
                <dd><strong style=""font-weight:bold;"">Closed</strong></dd>
                                <dt>Sunday:</dt>
                <dd>Closed</dd>
                                <dt>Public Holidays:</dt>
                <dd>Closed</dd>
                                <div></div>
        </dl>",(03) 9662 2256,,http://www.qvmedical.com.au/
,Practitioner,,"<div class=""description-content practitioner-description"">
    				<h2>Overview</h2>
					<div class=""description-content"">
											<p><span>Dr Sophie Shen holds a PhD, master degree and bachelor degree in Traditional Chinese Medicine; and has over 20 years of Chinese medicine clinical practice  and teaching experience in Australia （currently teaching at Endeavor College of Natural Health)  and China. Dr Shen has intensive experiences with womens’ health problems, especially with infertility assistance, IVF support, irregular periods, PCOS, PMS and menopause symptoms and others. Also she is good with endocrine disorders, digestive problems, skin problems, depression &amp; insomnia; pain management and children health problems.  Dr Shen is a professional member of ATMS &amp; AACMA, also a registered Chinese Medicine practitioner with AHPRA(Australian Health Practitioner Regulation Agency). Rebates are available with major health insurers.</span></p>
<p> </p>
<p><span><br></span></p>										</div>
					<a href=""javascript:;"" class=""more-area-btn"">Read more</a>
												</div>",,,60311,https://healthengine.imgix.net/photos/doctors/doc60311-20161003071235.PNG?auto=compress&ixlib=php-2.1.0&or=0,"Acupuncture, Chinese Herbal Medicine",English,"Unit 1 / 45 Cedric Street, Stirling, WA 6021",Dr Sophie Shen,,"Acupuncture, Chinese Medicine",6021,WA,Unit 1 / 45 Cedric Street,Stirling,Unit 1 / 45 Cedric Street,,,Long Health Care,,62590,,"<dl>
                        <dt>Monday:</dt>
                <dd>09:00am - 05:00pm</dd>
                                <dt>Tuesday:</dt>
                <dd>09:00am - 05:00pm</dd>
                                <dt>Wednesday:</dt>
                <dd>09:00am - 05:00pm</dd>
                                <dt>Thursday:</dt>
                <dd>09:00am - 05:00pm</dd>
                                <dt>Friday:</dt>
                <dd>09:00am - 05:00pm</dd>
                                <dt><strong style=""font-weight:bold;"">Saturday</strong>:</dt>
                <dd><strong style=""font-weight:bold;"">09:00am - 05:00pm</strong></dd>
                                <dt>Sunday:</dt>
                <dd>Closed</dd>
                                <dt>Public Holidays:</dt>
                <dd>Closed</dd>
                                <div></div>
        </dl>",(08)61530318,,www.longhealthcare.com.au
,Practitioner,,"<div class=""description-content practitioner-description"">
    				<h2>Overview</h2>
					<div class=""description-content"">
											<p>The founder of House of Fertility &amp; Healing, Ngaio has been a practicing Acupuncturist for over 22yrs, a Chinese Herbalist for 13 of those years, and has 30yrs overall experience working in the health field. Her special interest in women’s health ranging from puberty to menopause has helped hone her particular areas of expertise in the TCM treatment of fertility/infertility and in pregnancy Acupuncture. Well known throughout Sydney, many Midwives, Gynaecologists and Obstetricians often refer patients to her.</p>
<p>As a pragmatic intuitive, Ngaio encourages a collaborative healing process through which the health issues on hand become tools and opportunities for her patient to learn more about the body/mind connection and how to proactively take better care &amp; responsibility for oneself. She utilizes both Chinese (Acupuncture, cold laser, Chinese Herbal Medicine) and western medical models alongside dietary &amp; lifestyle coaching to diagnose and address any issues that may be undermining the conception, development and birth of a healthy baby, and a radiant mother. Ngaio is here to support each woman’s birth plan and their health goals.</p>
<p>Niche areas of expertise:</p>
<ul>
<li>Pregnancy – for example, miscarriage prevention, morning sickness, pubic symphisitis, pain management, pelvic instability, carpal tunnel, labor preparation, anxiety about birthing, postpartum support &amp; recovery including Mastitis and breastfeeding issues.</li>
<li>Fertility – both natural fertility support and also IVF support, preparation prior to pregnancy, and anovulation.</li>
<li>Women’s health – menstrual disorders of all kinds is one of the areas Chinese medicine reigns supreme. For example, period pain, Endometriosis, irregular periods, heavy or inter-menstrual bleeding.</li>
<li>Children’s health – when a child receives correct treatment their bodies respond immediately. Their bodies are different to adults.</li>
</ul>
<p> </p>
<p>Ngaio continues to regularly update her skills &amp; knowledge via post graduate learning, trips to China for research and study under older &amp; wiser therapists, industry seminars, mentoring newer practitioners &amp; a regular meditation practice.</p>
<p>Ngaio works by appointment from House of Fertility &amp; Healing on Tuesdays (8.30am-7pm), Thursdays (8.30am-8pm) &amp; Fridays (11am-7pm).</p>										</div>
					<a href=""javascript:;"" class=""more-area-btn"">Read more</a>
													<p> Ngaio Richards is an Acupuncturist and Chinese Medicine Practitioner in Newtown, NSW.</p>
								</div>",,,45414,https://healthengine.imgix.net/photos/doctors/doc45414-20140808011721.jpg?auto=compress&ixlib=php-2.1.0&or=0,,English,"230 Edgeware Road, Newtown, NSW 2042", Ngaio Richards,,"Acupuncture, Chinese Medicine",2042,NSW,230 Edgeware Road,Newtown,230 Edgeware Road,,,House of Healing & Fertility,,45521,,"<dl>
                        <dt>Monday:</dt>
                <dd>07:30am - 07:30pm</dd>
                                <dt>Tuesday:</dt>
                <dd>07:30am - 07:30pm</dd>
                                <dt>Wednesday:</dt>
                <dd>07:30am - 07:30pm</dd>
                                <dt>Thursday:</dt>
                <dd>07:30am - 07:30pm</dd>
                                <dt>Friday:</dt>
                <dd>07:30am - 07:30pm</dd>
                                <dt><strong style=""font-weight:bold;"">Saturday</strong>:</dt>
                <dd><strong style=""font-weight:bold;"">08:00am - 04:30pm</strong></dd>
                                <dt>Sunday:</dt>
                <dd>Closed</dd>
                                <dt>Public Holidays:</dt>
                <dd>Closed</dd>
                                <div></div>
        </dl>",(02) 9557 6440,,houseoffertilityandhealing.com.au
,Practice,,,,,,,,,,,,,3012,VIC,,West Footscray,"571 Barkly Street, West Footscray, VIC, 3012",false,false,Western Health Collective,,68767,,,+61396875670,"Acupuncture, Chinese Medicine, Clinical Psychology, Counselling, Massage, Myotherapy, Naturopathy, O",
,Practice,,,,,,,,,,,,,3051,VIC,,North Melbourne,"436  Victoria St, North Melbourne, VIC, 3051",false,false,Victoria Street Acupuncture & Medical Clinic Pty Ltd,,67109,,,+61393284034,"Acupuncture, Psychology, Podiatry, Chinese Medicine",
,Practice,,,,,,,,,,,,,3184,VIC,,Elwood,"109 Brighton Rd, Elwood, VIC, 3184",false,false,This Is Life Family Wellness Emporium,,66388,,,+61395315050,"Chiropractic, Massage, Naturopathy, Chinese Medicine",
,Practice,,,,,,,,,,,,,2350,NSW,,Armidale,"170 Allingham Street, Armidale, NSW, 2350",false,false,The Way Of Water,,66931,,,+61267713469,"Acupuncture, Chinese Medicine",
